table_name,row_data
alert_escalations,"{""id"": 1, ""category"": ""inventory_threshold"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 15, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-01 08:00:00""}"
alert_escalations,"{""id"": 2, ""category"": ""warehouse_connectivity"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 30, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-04 13:00:00""}"
alert_escalations,"{""id"": 3, ""category"": ""supplier_feed"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 60, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-07 18:00:00""}"
alert_escalations,"{""id"": 4, ""category"": ""shipment_delay"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 120, ""notify_role"": ""warehouse_manager"", ""email_enabled"": false, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-10 23:00:00""}"
alert_escalations,"{""id"": 5, ""category"": ""purchase_order_exception"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 240, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-14 04:00:00""}"
alert_escalations,"{""id"": 6, ""category"": ""analytics_pipeline"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 15, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-16 09:00:00""}"
alert_escalations,"{""id"": 7, ""category"": ""user_access"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 30, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": false, ""active"": true, ""created_at"": ""2025-01-19 14:00:00""}"
alert_escalations,"{""id"": 8, ""category"": ""system_health"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 60, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-22 19:00:00""}"
alert_escalations,"{""id"": 9, ""category"": ""data_quality"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 120, ""notify_role"": ""on_call_engineer"", ""email_enabled"": false, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-26 00:00:00""}"
alert_escalations,"{""id"": 10, ""category"": ""reporting_failure"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 240, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-01-29 05:00:00""}"
alert_escalations,"{""id"": 11, ""category"": ""inventory_threshold"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 15, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": false, ""created_at"": ""2025-01-31 10:00:00""}"
alert_escalations,"{""id"": 12, ""category"": ""warehouse_connectivity"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 30, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-03 15:00:00""}"
alert_escalations,"{""id"": 13, ""category"": ""supplier_feed"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 60, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-06 20:00:00""}"
alert_escalations,"{""id"": 14, ""category"": ""shipment_delay"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 120, ""notify_role"": ""operations_lead"", ""email_enabled"": false, ""sms_enabled"": true, ""in_app_enabled"": false, ""active"": true, ""created_at"": ""2025-02-10 01:00:00""}"
alert_escalations,"{""id"": 15, ""category"": ""purchase_order_exception"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 240, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-13 06:00:00""}"
alert_escalations,"{""id"": 16, ""category"": ""analytics_pipeline"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 15, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-15 11:00:00""}"
alert_escalations,"{""id"": 17, ""category"": ""user_access"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 30, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-18 16:00:00""}"
alert_escalations,"{""id"": 18, ""category"": ""system_health"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 60, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-21 21:00:00""}"
alert_escalations,"{""id"": 19, ""category"": ""data_quality"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 120, ""notify_role"": ""warehouse_manager"", ""email_enabled"": false, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-25 02:00:00""}"
alert_escalations,"{""id"": 20, ""category"": ""reporting_failure"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 240, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-02-28 07:00:00""}"
alert_escalations,"{""id"": 21, ""category"": ""inventory_threshold"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 15, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": false, ""active"": true, ""created_at"": ""2025-03-02 12:00:00""}"
alert_escalations,"{""id"": 22, ""category"": ""warehouse_connectivity"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 30, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": false, ""created_at"": ""2025-03-05 17:00:00""}"
alert_escalations,"{""id"": 23, ""category"": ""supplier_feed"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 60, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-03-08 22:00:00""}"
alert_escalations,"{""id"": 24, ""category"": ""shipment_delay"", ""priority"": ""medium"", ""escalation_level"": 4, ""delay_minutes"": 120, ""notify_role"": ""on_call_engineer"", ""email_enabled"": false, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-03-12 03:00:00""}"
alert_escalations,"{""id"": 25, ""category"": ""purchase_order_exception"", ""priority"": ""low"", ""escalation_level"": 1, ""delay_minutes"": 240, ""notify_role"": ""warehouse_manager"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-03-14 08:00:00""}"
alert_escalations,"{""id"": 26, ""category"": ""analytics_pipeline"", ""priority"": ""critical"", ""escalation_level"": 2, ""delay_minutes"": 15, ""notify_role"": ""operations_lead"", ""email_enabled"": true, ""sms_enabled"": true, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-03-17 13:00:00""}"
alert_escalations,"{""id"": 27, ""category"": ""user_access"", ""priority"": ""high"", ""escalation_level"": 3, ""delay_minutes"": 30, ""notify_role"": ""on_call_engineer"", ""email_enabled"": true, ""sms_enabled"": false, ""in_app_enabled"": true, ""active"": true, ""created_at"": ""2025-03-20 18:00:00""}"
